timestamp,symbol,price,volume,change,change_percent,date,hour,minute
2025-12-07 13:29:51.535555,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,29
2025-12-07 13:29:51.841105,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,29
2025-12-07 13:29:52.146973,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,29
2025-12-07 13:30:52.380976,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,30
2025-12-07 13:30:52.665996,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,30
2025-12-07 13:30:52.929886,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,30
2025-12-07 13:30:53.181703,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,30
2025-12-07 13:30:53.485427,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,30
2025-12-07 13:31:53.800239,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,31
2025-12-07 13:31:54.031743,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,31
2025-12-07 13:31:54.315237,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,31
2025-12-07 13:31:54.619885,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,31
2025-12-07 13:31:54.926138,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,31
2025-12-07 13:32:55.240369,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,32
2025-12-07 13:32:55.471640,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,32
2025-12-07 13:32:55.754582,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,32
2025-12-07 13:32:56.013487,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,32
2025-12-07 13:32:56.267119,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,32
2025-12-07 13:33:56.579625,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,33
2025-12-07 13:33:56.888510,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,33
2025-12-07 13:33:57.194386,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,33
2025-12-07 13:33:57.501566,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,33
2025-12-07 13:33:57.809017,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,33
2025-12-07 13:34:58.123996,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,34
2025-12-07 13:34:58.359028,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,34
2025-12-07 13:34:58.635246,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,34
2025-12-07 13:34:58.942529,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,34
2025-12-07 13:34:59.249444,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,34
2025-12-07 13:35:59.566037,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,35
2025-12-07 13:35:59.873092,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,35
2025-12-07 13:36:00.180270,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,36
2025-12-07 13:36:00.486467,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,36
2025-12-07 13:36:00.895861,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,36
2025-12-07 13:37:01.212013,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,37
2025-12-07 13:37:01.518583,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,37
2025-12-07 13:37:01.813124,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,37
2025-12-07 13:37:02.131766,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,37
2025-12-07 13:37:02.438838,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,37
